month,AIRPORT,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total
1985/1/1,All Australian Airports,1192395,1192395,2384790,263795,208770,472565,1456190,1401165,2857355
1985/2/1,All Australian Airports,957067,957067,1914134,204953,179222,384175,1162020,1136289,2298309
1985/3/1,All Australian Airports,1125440,1125440,2250880,209513,231582,441095,1334953,1357022,2691975
1985/4/1,All Australian Airports,1134341,1134341,2268682,182673,214403,397076,1317014,1348744,2665758
1985/5/1,All Australian Airports,1261049,1261049,2522098,198902,224350,423252,1459951,1485399,2945350
1985/6/1,All Australian Airports,1103678,1103678,2207356,193943,209080,403023,1297621,1312758,2610379
1985/7/1,All Australian Airports,1072786,1072786,2145572,206179,196596,402775,1278965,1269382,2548347
1985/8/1,All Australian Airports,1273956,1273956,2547912,216594,229109,445703,1490550,1503065,2993615
1985/9/1,All Australian Airports,1287769,1287769,2575538,243608,197542,441150,1531377,1485311,3016688
1985/10/1,All Australian Airports,1254244,1254244,2508488,249262,178319,427581,1503506,1432563,2936069
1985/11/1,All Australian Airports,1213429,1213429,2426858,233980,211234,445214,1447409,1424663,2872072
1985/12/1,All Australian Airports,1221294,1221294,2442588,243329,273435,516764,1464623,1494729,2959352
1986/1/1,All Australian Airports,1274458,1274458,2548916,292576,237224,529800,1567034,1511682,3078716
1986/2/1,All Australian Airports,1085561,1085561,2171122,223688,188004,411692,1309249,1273565,2582814
1986/3/1,All Australian Airports,1232739,1232739,2465478,225416,241557,466973,1458155,1474296,2932451
1986/4/1,All Australian Airports,1210883,1210883,2421766,208330,243972,452302,1419213,1454855,2874068
1986/5/1,All Australian Airports,1273662,1273662,2547324,214800,239637,454437,1488462,1513299,3001761
1986/6/1,All Australian Airports,1143147,1143147,2286294,209651,220335,429986,1352798,1363482,2716280
1986/7/1,All Australian Airports,1184132,1184132,2368264,239617,228905,468522,1423749,1413037,2836786
1986/8/1,All Australian Airports,1338199,1338199,2676398,255503,261532,517035,1593702,1599731,3193433
1986/9/1,All Australian Airports,1293720,1293720,2587440,266920,221479,488399,1560640,1515199,3075839
1986/10/1,All Australian Airports,1326396,1326396,2652792,282320,213632,495952,1608716,1540028,3148744
1986/11/1,All Australian Airports,1214455,1214455,2428910,274844,250773,525617,1489299,1465228,2954527
1986/12/1,All Australian Airports,1253728,1253728,2507456,280169,297553,577722,1533897,1551281,3085178
1987/1/1,All Australian Airports,1306407,1306407,2612814,336241,278842,615083,1642648,1585249,3227897
1987/2/1,All Australian Airports,1135705,1135705,2271410,263562,233605,497167,1399267,1369310,2768577
1987/3/1,All Australian Airports,1241299,1241299,2482598,246336,274131,520467,1487635,1515430,3003065
1987/4/1,All Australian Airports,1321084,1321084,2642168,245843,258248,504091,1566927,1579332,3146259
1987/5/1,All Australian Airports,1208563,1208563,2417126,234032,269714,503746,1442595,1478277,2920872
1987/6/1,All Australian Airports,1178189,1178189,2356378,229533,251647,481180,1407722,1429836,2837558
1987/7/1,All Australian Airports,1386508,1386508,2773016,304662,273355,578017,1691170,1659863,3351033
1987/8/1,All Australian Airports,1316872,1316872,2633744,290267,292715,582982,1607139,1609587,3216726
1987/9/1,All Australian Airports,1378347,1378347,2756694,293051,284202,577253,1671398,1662549,3333947
1987/10/1,All Australian Airports,1460138,1460138,2920276,358523,261408,619931,1818661,1721546,3540207
1987/11/1,All Australian Airports,1338374,1338374,2676748,311171,278325,589496,1649545,1616699,3266244
1987/12/1,All Australian Airports,1330040,1330040,2660080,323057,321962,645019,1653097,1652002,3305099
1988/1/1,All Australian Airports,1363561,1363561,2727122,371659,322979,694638,1735220,1686540,3421760
1988/2/1,All Australian Airports,1222706,1222706,2445412,302167,265724,567891,1524873,1488430,3013303
1988/3/1,All Australian Airports,1373375,1373375,2746750,298283,310622,608905,1671658,1683997,3355655
1988/4/1,All Australian Airports,1315299,1315299,2630598,288218,297783,586001,1603517,1613082,3216599
1988/5/1,All Australian Airports,1349328,1349328,2698656,264494,307690,572184,1613822,1657018,3270840
1988/6/1,All Australian Airports,1346807,1346807,2693614,287424,302002,589426,1634231,1648809,3283040
1988/7/1,All Australian Airports,1542634,1542634,3085268,366504,320304,686808,1909138,1862938,3772076
1988/8/1,All Australian Airports,1502451,1502451,3004902,340569,339043,679612,1843020,1841494,3684514
1988/9/1,All Australian Airports,1600562,1600562,3201124,348421,346881,695302,1948983,1947443,3896426
1988/10/1,All Australian Airports,1545842,1545842,3091684,392404,312920,705324,1938246,1858762,3797008
1988/11/1,All Australian Airports,1357601,1357601,2715202,341635,312110,653745,1699236,1669711,3368947
1988/12/1,All Australian Airports,1339087,1339087,2678174,353341,373605,726946,1692428,1712692,3405120
1989/1/1,All Australian Airports,1317565,1317565,2635130,406078,353027,759105,1723643,1670592,3394235
1989/2/1,All Australian Airports,1152626,1152626,2305252,325524,279992,605516,1478150,1432618,2910768
1989/3/1,All Australian Airports,1394457,1394457,2788914,310085,342512,652597,1704542,1736969,3441511
1989/4/1,All Australian Airports,1256371,1256371,2512742,299136,315425,614561,1555507,1571796,3127303
1989/5/1,All Australian Airports,1221574,1221574,2443148,254512,299689,554201,1476086,1521263,2997349
1989/6/1,All Australian Airports,1267056,1267056,2534112,284425,312446,596871,1551481,1579502,3130983
1989/7/1,All Australian Airports,1376939,1376939,2753878,370111,317490,687601,1747050,1694429,3441479
1989/8/1,All Australian Airports,893167,893167,1786334,324349,338415,662764,1217516,1231582,2449098
1989/9/1,All Australian Airports,364884,364884,729768,341728,341420,683148,706612,706304,1412916
1989/10/1,All Australian Airports,599969,599969,1199938,391321,292732,684053,991290,892701,1883991
1989/11/1,All Australian Airports,764842,764842,1529684,343052,311100,654152,1107894,1075942,2183836
1989/12/1,All Australian Airports,946235,946235,1892470,365371,411163,776534,1311606,1357398,2669004
1990/1/1,All Australian Airports,1108884,1108884,2217768,434987,370070,805057,1543871,1478954,3022825
1990/2/1,All Australian Airports,1015822,1015822,2031644,348203,294226,642429,1364025,1310048,2674073
1990/3/1,All Australian Airports,1187096,1187096,2374192,323246,351298,674544,1510342,1538394,3048736
1990/4/1,All Australian Airports,1261914,1261914,2523828,335754,370333,706087,1597668,1632247,3229915
1990/5/1,All Australian Airports,1166929,1166929,2333858,290503,331581,622084,1457432,1498510,2955942
1990/6/1,All Australian Airports,1174963,1174963,2349926,306690,347626,654316,1481653,1522589,3004242
1990/7/1,All Australian Airports,1358027,1358027,2716054,396377,351530,747907,1754404,1709557,3463961
1990/8/1,All Australian Airports,1304999,1304999,2609998,362706,365264,727970,1667705,1670263,3337968
1990/9/1,All Australian Airports,1395204,1395204,2790408,365425,370343,735768,1760629,1765547,3526176
1990/10/1,All Australian Airports,1462192,1462192,2924384,415331,311123,726454,1877523,1773315,3650838
1990/11/1,All Australian Airports,1367879,1367879,2735758,350086,333334,683420,1717965,1701213,3419178
1990/12/1,All Australian Airports,1396142,1396142,2792284,373740,422449,796189,1769882,1818591,3588473
1991/1/1,All Australian Airports,1487428,1487428,2974856,436936,366581,803517,1924364,1854009,3778373
1991/2/1,All Australian Airports,1197027,1197027,2394054,323487,294390,617877,1520514,1491417,3011931
1991/3/1,All Australian Airports,1364028,1364028,2728056,319028,348723,667751,1683056,1712751,3395807
1991/4/1,All Australian Airports,1424785,1424785,2849570,300563,320391,620954,1725348,1745176,3470524
1991/5/1,All Australian Airports,1352652,1352652,2705304,289444,326351,615795,1642096,1679003,3321099
1991/6/1,All Australian Airports,1426404,1426404,2852808,324042,356867,680909,1750446,1783271,3533717
1991/7/1,All Australian Airports,1760937,1760937,3521874,409725,364182,773907,2170662,2125119,4295781
1991/8/1,All Australian Airports,1709216,1709216,3418432,371301,375371,746672,2080517,2084587,4165104
1991/9/1,All Australian Airports,1870074,1870074,3740148,378629,382911,761540,2248703,2252985,4501688
1991/10/1,All Australian Airports,1950933,1950933,3901866,435723,353070,788793,2386656,2304003,4690659
1991/11/1,All Australian Airports,1820650,1820650,3641300,381203,378711,759914,2201853,2199361,4401214
1991/12/1,All Australian Airports,1841607,1841607,3683214,383963,430985,814948,2225570,2272592,4498162
1992/1/1,All Australian Airports,1806414,1806414,3612828,452237,384720,836957,2258651,2191134,4449785
1992/2/1,All Australian Airports,1480280,1480280,2960560,380351,342690,723041,1860631,1822970,3683601
1992/3/1,All Australian Airports,1578324,1578324,3156648,343875,376487,720362,1922199,1954811,3877010
1992/4/1,All Australian Airports,1659060,1659060,3318120,358914,390167,749081,2017974,2049227,4067201
1992/5/1,All Australian Airports,1532455,1532455,3064910,320192,363908,684100,1852647,1896363,3749010
1992/6/1,All Australian Airports,1515243,1515243,3030486,322929,360645,683574,1838172,1875888,3714060
1992/7/1,All Australian Airports,1749523,1749523,3499046,435768,393798,829566,2185291,2143321,4328612
1992/8/1,All Australian Airports,1637838,1637838,3275676,376059,380893,756952,2013897,2018731,4032628
1992/9/1,All Australian Airports,1791688,1791688,3583376,386283,400593,786876,2177971,2192281,4370252
1992/10/1,All Australian Airports,1883093,1883093,3766186,457934,355498,813432,2341027,2238591,4579618
1992/11/1,All Australian Airports,1758142,1758142,3516284,405635,397517,803152,2163777,2155659,4319436
1992/12/1,All Australian Airports,1793321,1793321,3586642,430288,490547,920835,2223609,2283868,4507477
1993/1/1,All Australian Airports,1879330,1879330,3758660,516585,438365,954950,2395915,2317695,4713610
1993/2/1,All Australian Airports,1582441,1582441,3164882,405308,356814,762122,1987749,1939255,3927004
1993/3/1,All Australian Airports,1729121,1729121,3458242,389293,413113,802406,2118414,2142234,4260648
1993/4/1,All Australian Airports,1816245,1816245,3632490,385172,416542,801714,2201417,2232787,4434204
1993/5/1,All Australian Airports,1646109,1646109,3292218,356028,408986,765014,2002137,2055095,4057232
1993/6/1,All Australian Airports,1656336,1656336,3312672,358340,403706,762046,2014676,2060042,4074718
1993/7/1,All Australian Airports,1816327,1816327,3632654,472768,403100,875868,2289095,2219427,4508522
1993/8/1,All Australian Airports,1798686,1798686,3597372,413429,426981,840410,2212115,2225667,4437782
1993/9/1,All Australian Airports,1904842,1904842,3809684,421487,429754,851241,2326329,2334596,4660925
1993/10/1,All Australian Airports,1981066,1981066,3962132,506269,405797,912066,2487335,2386863,4874198
1993/11/1,All Australian Airports,1895808,1895808,3791616,432614,438218,870832,2328422,2334026,4662448
1993/12/1,All Australian Airports,1896132,1896132,3792264,470552,509064,979616,2366684,2405196,4771880
1994/1/1,All Australian Airports,1959240,1959240,3918480,527407,469469,996876,2486647,2428709,4915356
1994/2/1,All Australian Airports,1752119,1752119,3504238,460291,417938,878229,2212410,2170057,4382467
1994/3/1,All Australian Airports,2017836,2017836,4035672,457106,479516,936622,2474942,2497352,4972294
1994/4/1,All Australian Airports,1942669,1942669,3885338,420003,448911,868914,2362672,2391580,4754252
1994/5/1,All Australian Airports,1822666,1822666,3645332,359926,418249,778175,2182592,2240915,4423507
1994/6/1,All Australian Airports,1881521,1881521,3763042,398165,434962,833127,2279686,2316483,4596169
1994/7/1,All Australian Airports,2115581,2115581,4231162,522764,453194,975958,2638345,2568775,5207120
1994/8/1,All Australian Airports,2052569,2052569,4105138,451024,470159,921183,2503593,2522728,5026321
1994/9/1,All Australian Airports,2161239,2161239,4322478,466412,464745,931157,2627651,2625984,5253635
1994/10/1,All Australian Airports,2251862,2251862,4503724,543192,444819,988011,2795054,2696681,5491735
1994/11/1,All Australian Airports,2114914,2114914,4229828,468686,465186,933872,2583600,2580100,5163700
1994/12/1,All Australian Airports,2074197,2074197,4148394,516874,554602,1071476,2591071,2628799,5219870
1995/1/1,All Australian Airports,2198830,2198830,4397660,589329,519315,1108644,2788159,2718145,5506304
1995/2/1,All Australian Airports,1910419,1910419,3820838,490333,439366,929699,2400752,2349785,4750537
1995/3/1,All Australian Airports,2088894,2088894,4177788,466598,502616,969214,2555492,2591510,5147002
1995/4/1,All Australian Airports,2126236,2126236,4252472,469570,498096,967666,2595806,2624332,5220138
1995/5/1,All Australian Airports,1976056,1976056,3952112,407934,461791,869725,2383990,2437847,4821837
1995/6/1,All Australian Airports,2020555,2020555,4041110,437595,461553,899148,2458150,2482108,4940258
1995/7/1,All Australian Airports,2230135,2230135,4460270,576773,503218,1079991,2806908,2733353,5540261
1995/8/1,All Australian Airports,2259507,2259507,4519014,498982,518535,1017517,2758489,2778042,5536531
